Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Turner Parking Ramp,1 Perkins Dr.,,Buffalo,NY,14202,,866-816-7584,E,,Public,,,,1,,,EV Connect,http://evconnect.com/,GPS,42.885850,-78.879561,06/18/2023,104729,2023-06-18 01:24:05,,,,04/01/2018,J1772
ELEC,SAVARINO COMPAN BRL 4,BRL Parking Lot 2nd from Building 1 South Str,,Buffalo,NY,14204,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.863697,-78.868064,06/18/2023,164158,2023-06-18 00:18:43,,,,07/11/2020,J1772
ELEC,Modena Travel Plaza,Milepost 66 Southbound,,Modena,NY,12589,,866-816-7584,E,,Public,,,,,1,,EV Connect,http://evconnect.com/,GPS,41.591863,-74.088738,06/18/2023,167633,2023-06-18 01:24:20,,,,06/26/2020,CHADEMO J1772COMBO
ELEC,Seneca Harbor Park,1 Harbor Dr.,,Watkins Glen,NY,14891,,866-816-7584,E,,Public,,,,4,,,EV Connect,http://evconnect.com/,GPS,42.383540,-76.871105,06/18/2023,168436,2023-06-18 01:24:19,,,,09/01/2020,J1772
ELEC,SRYMCASSB MALTA 1.1,8-10 Medical Park Dr,,Ballston Spa,NY,12020,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.975704,-73.806290,06/18/2023,182287,2023-06-18 00:22:20,,,,01/27/2021,J1772
ELEC,NORTHEAST IS STATION 1,880 Watervliet Shaker Rd,,Albany,NY,12205,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.738597,-73.820505,06/18/2023,194320,2023-06-18 00:25:13,,,,08/27/2021,J1772
ELEC,BMWHV LEVEL TWO,2066-20 South Rd,,Poughkeepsie,NY,12601,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.630523,-73.914551,06/18/2023,220945,2023-06-18 00:28:12,,,,06/08/2022,J1772
ELEC,S-R STATION 2,784 County Rd 64,,Elmira,NY,14903,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.152089,-76.885292,06/18/2023,222066,2023-06-18 00:28:03,,,,06/28/2022,J1772
ELEC,RTS EMS VISITOR,1372 E Main St,,Rochester,NY,14609,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.161118,-77.574210,06/18/2023,227673,2023-06-18 00:30:33,,,,09/16/2022,J1772
ELEC,MAINLOT SHULTS HYUNDAI,181 E Fairmount Ave,,Lakewood,NY,14750,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.098134,-79.314199,06/18/2023,231093,2023-06-18 00:30:30,,,,10/01/2022,CHADEMO J1772COMBO
ELEC,1111 Madison,1111 Madison,,Syracuse,NY,13210,,866-816-7584,E,,Public,,,,1,,,EV Connect,http://evconnect.com/,GPS,43.045471,-76.129206,06/18/2023,252618,2023-06-18 01:24:35,,,,01/28/2023,J1772
ELEC,MONROE COUNTY CITYPL W1,121 Fitzhugh St N,,Rochester,NY,14614,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.155888,-77.615213,06/18/2023,259346,2023-06-18 00:33:24,,,,04/14/2023,J1772
ELEC,Congruent,401 N Lowell Ave,,Syracuse,NY,13204,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,43.051499,-76.184940,06/18/2023,262333,2023-06-18 01:24:40,,,,06/07/2023,J1772
ELEC,WATERVLIET DOME 2,1300 2nd Ave,,Watervliet,NY,12189,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.724018,-73.702685,06/18/2023,195913,2023-06-18 00:25:20,,,,09/15/2021,J1772
ELEC,Queens Center - Tesla Supercharger,90-15 Queens Boulevard,,Queens,NY,11373,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,10,,Tesla,https://www.tesla.com/supercharger,GPS,40.735082,-73.870670,10/03/2022,116809,2022-12-01 17:40:26,P,,,12/01/2018,TESLA
ELEC,BRUNSWICK HD BRUNSWICK HD2,1130 Hoosick Rd,,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.758880,-73.602280,06/18/2023,150341,2023-06-18 00:17:10,,,,12/19/2019,J1772
ELEC,Nissan of Westbury,939 Old Country Rd,,Westbury,NY,11590,,516-338-5600,E,,Public - Call ahead,Dealership business hours,,,1,1,,Non-Networked,,200-8,40.753954,-73.561974,06/09/2020,44212,2023-02-15 22:45:41,P,,,11/30/2011,CHADEMO J1772
ELEC,626 Sheepshead Bay Rd - Parking,626 Sheepshead Bay Rd,Entrance is in-between post office and Net Coast Market on Sheepshead Bay RdEntrance is in-between post office and ||Net Coast Market on Sheepshead Bay Rd.||,Brooklyn,NY,11224,,888-998-2546,E,,Public,,,,11,,,Blink Network,http://www.blinkcharging.com/,GPS,40.578630,-73.975218,06/17/2023,197548,2023-06-17 23:58:59,,,,10/08/2021,J1772
ELEC,Sleepy Hollow Public Parking,55 Elm St,,Sleepy Hollow,NY,10591,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,41.085732,-73.865476,06/18/2023,230803,2023-06-18 01:24:07,,,,09/30/2022,J1772
ELEC,CITY OF GENEVA CITY HALL #1,47 Castle St,,Geneva,NY,14456,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.867477,-76.982604,06/18/2023,164639,2023-06-18 00:18:48,,,,07/30/2020,J1772
ELEC,GLOVERS PARKING STATION 1,85 Mill Rd,,Westhampton Beach,NY,11978,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.812187,-72.643448,06/18/2023,180127,2023-06-18 00:11:00,,,,01/27/2021,J1772
ELEC,Facilities Parking Lot,North Lane,,Schenectady,NY,12308,,866-816-7584,E,,Public,,,,4,,,EV Connect,http://evconnect.com/,GPS,42.818224,-73.927289,06/18/2023,155030,2023-06-18 01:24:04,,,,04/02/2019,J1772
ELEC,Watkins Glen State Park Parking,971 N Franklin St,,Watkins Glen,NY,14891,,607-535-4511,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,Non-Networked,,GPS,42.375979,-76.870807,09/14/2022,226517,2023-02-14 15:54:11,P,,,08/25/2022,J1772
ELEC,Scarsdale Commons,70 Garth Rd,,Scarsdale,NY,10583,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,6,,,LIVINGSTON,https://www.solution.energy,GPS,40.986620,-73.809530,07/12/2022,223246,2023-02-14 15:54:11,P,,,01/14/2022,J1772
ELEC,HARMONY MILLS 1 WEST 2 2.1,100 N Mohawk St,,Cohoes,NY,12047,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.778606,-73.702920,06/18/2023,174731,2023-06-18 00:16:29,,,,01/27/2021,J1772
ELEC,ADELPHI UNIV STATION 04,1 South Ave,,Garden City,NY,11530,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.719626,-73.650022,06/18/2023,171553,2023-06-18 00:17:40,,,,01/27/2021,J1772
ELEC,MONTANTE SOLAR STATION 2,1277 Delaware Ave,,Buffalo,NY,14209,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.918273,-78.867080,06/18/2023,217202,2023-06-18 00:28:43,,,,05/08/2022,J1772
ELEC,BURNS MGT THE SPRINGS#1,60 Weibel Ave,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.092505,-73.743290,06/18/2023,143572,2023-06-18 00:13:59,,,,08/15/2019,J1772
ELEC,ADKHOSPITALITY HAMPTON INN 1.3,2133 U.S. 9,,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.409264,-73.712660,06/18/2023,185361,2023-06-18 00:22:43,,,,02/25/2021,J1772
ELEC,VOB KENSINGTON 1,15 Kensington Terrace,,Bronxville,NY,10708,,888-758-4389,E,,Public,Mon 3:00pm - 12:00am; Tue 3:00pm - 12:00am; Wed 3:00pm - 12:00am; Thu 3:00pm - 12:00am; Fri 3:00pm - 12:00am; Sat 6:00am - 12:00am; Sun 6:00am - 12:00am,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.942543,-73.834410,06/18/2023,165221,2023-06-18 00:20:21,,,,08/14/2020,J1772
ELEC,QUEENSBURY TOWN EXIT 18 KIOSK 2,105 Main St,,Queensbury,NY,12804,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.298496,-73.676940,06/18/2023,181131,2023-06-18 00:20:24,,,,01/27/2021,J1772
