Record Type,Fuel Type,County,Registration Class
BOAT,DIESEL,ALBANY,49
BOAT,ELECTRIC,ALBANY,212
BOAT,FLEX,ALBANY,7
BOAT,GAS,ALBANY,6369
BOAT,NONE,ALBANY,66
BOAT,OTHER,ALBANY,23
BOAT,PROPANE,ALBANY,1
TRL,NONE,ALBANY,14774
VEH,COMP N/G,ALBANY,58
VEH,DIESEL,ALBANY,13442
VEH,ELECTRIC,ALBANY,2007
VEH,FLEX,ALBANY,1291
VEH,GAS,ALBANY,221513
VEH,NONE,ALBANY,3668
VEH,OTHER,ALBANY,33
VEH,PROPANE,ALBANY,44
BOAT,DIESEL,ALLEGANY,4
BOAT,ELECTRIC,ALLEGANY,55
BOAT,FLEX,ALLEGANY,1
BOAT,GAS,ALLEGANY,1359
BOAT,NONE,ALLEGANY,10
BOAT,OTHER,ALLEGANY,4
TRL,NONE,ALLEGANY,6193
VEH,COMP N/G,ALLEGANY,2
VEH,DIESEL,ALLEGANY,3149
VEH,ELECTRIC,ALLEGANY,48
VEH,FLEX,ALLEGANY,124
VEH,GAS,ALLEGANY,33708
VEH,NONE,ALLEGANY,204
VEH,PROPANE,ALLEGANY,1
BOAT,DIESEL,BRONX,112
BOAT,ELECTRIC,BRONX,23
BOAT,GAS,BRONX,1584
BOAT,NONE,BRONX,9
BOAT,OTHER,BRONX,7
TRL,ELECTRIC,BRONX,1
TRL,NONE,BRONX,1594
VEH,COMP N/G,BRONX,733
VEH,DIESEL,BRONX,10501
VEH,ELECTRIC,BRONX,1939
VEH,FLEX,BRONX,234
VEH,GAS,BRONX,277579
VEH,NONE,BRONX,110
VEH,OTHER,BRONX,43
VEH,PROPANE,BRONX,3
BOAT,DIESEL,BROOME,22
BOAT,ELECTRIC,BROOME,171
BOAT,FLEX,BROOME,4
BOAT,GAS,BROOME,4818
BOAT,NONE,BROOME,66
BOAT,OTHER,BROOME,18
BOAT,PROPANE,BROOME,1
TRL,NONE,BROOME,13721
VEH,COMP N/G,BROOME,5
VEH,DIESEL,BROOME,6299
VEH,ELECTRIC,BROOME,485
VEH,FLEX,BROOME,284
VEH,GAS,BROOME,138354
VEH,NONE,BROOME,414
VEH,OTHER,BROOME,9
VEH,PROPANE,BROOME,27
BOAT,DIESEL,CATTARAUGUS,11
BOAT,ELECTRIC,CATTARAUGUS,97
BOAT,FLEX,CATTARAUGUS,1
BOAT,GAS,CATTARAUGUS,2205
BOAT,NONE,CATTARAUGUS,22
BOAT,OTHER,CATTARAUGUS,6
TRL,NONE,CATTARAUGUS,9755
VEH,COMP N/G,CATTARAUGUS,38
VEH,DIESEL,CATTARAUGUS,4204
VEH,ELECTRIC,CATTARAUGUS,73
VEH,FLEX,CATTARAUGUS,231
VEH,GAS,CATTARAUGUS,58250
VEH,NONE,CATTARAUGUS,250
VEH,PROPANE,CATTARAUGUS,2
BOAT,DIESEL,CAYUGA,26
BOAT,ELECTRIC,CAYUGA,40
BOAT,FLEX,CAYUGA,5
BOAT,GAS,CAYUGA,4265
BOAT,NONE,CAYUGA,20
BOAT,OTHER,CAYUGA,4
TRL,NONE,CAYUGA,11688
VEH,COMP N/G,CAYUGA,4
VEH,DIESEL,CAYUGA,4564
VEH,ELECTRIC,CAYUGA,128
VEH,FLEX,CAYUGA,211
VEH,GAS,CAYUGA,57492
VEH,NONE,CAYUGA,349
VEH,PROPANE,CAYUGA,1
BOAT,COMP N/G,CHAUTAUQUA,3
BOAT,DIESEL,CHAUTAUQUA,31
BOAT,ELECTRIC,CHAUTAUQUA,84
BOAT,FLEX,CHAUTAUQUA,5
BOAT,GAS,CHAUTAUQUA,5157
BOAT,NONE,CHAUTAUQUA,35
BOAT,OTHER,CHAUTAUQUA,12
BOAT,PROPANE,CHAUTAUQUA,1
TRL,FLEX,CHAUTAUQUA,1
TRL,NONE,CHAUTAUQUA,14624
VEH,COMP N/G,CHAUTAUQUA,10
VEH,DIESEL,CHAUTAUQUA,5392
VEH,ELECTRIC,CHAUTAUQUA,215
VEH,FLEX,CHAUTAUQUA,540
VEH,GAS,CHAUTAUQUA,93664
VEH,NONE,CHAUTAUQUA,404
VEH,OTHER,CHAUTAUQUA,4
VEH,PROPANE,CHAUTAUQUA,3
BOAT,DIESEL,CHEMUNG,14
BOAT,ELECTRIC,CHEMUNG,106
BOAT,FLEX,CHEMUNG,4
BOAT,GAS,CHEMUNG,2569
BOAT,NONE,CHEMUNG,15
BOAT,OTHER,CHEMUNG,11
TRL,NONE,CHEMUNG,7862
VEH,COMP N/G,CHEMUNG,6
VEH,DIESEL,CHEMUNG,2764
VEH,ELECTRIC,CHEMUNG,152
VEH,FLEX,CHEMUNG,83
VEH,GAS,CHEMUNG,61058
VEH,NONE,CHEMUNG,192
VEH,OTHER,CHEMUNG,3
VEH,PROPANE,CHEMUNG,1
BOAT,DIESEL,CHENANGO,11
BOAT,ELECTRIC,CHENANGO,151
BOAT,FLEX,CHENANGO,3
BOAT,GAS,CHENANGO,1424
BOAT,NONE,CHENANGO,27
BOAT,OTHER,CHENANGO,10
TRL,NONE,CHENANGO,6994
VEH,COMP N/G,CHENANGO,1
VEH,DIESEL,CHENANGO,2935
VEH,ELECTRIC,CHENANGO,66
VEH,FLEX,CHENANGO,151
VEH,GAS,CHENANGO,39509
VEH,NONE,CHENANGO,153
VEH,OTHER,CHENANGO,2
VEH,PROPANE,CHENANGO,22
BOAT,DIESEL,CLINTON,28
BOAT,ELECTRIC,CLINTON,144
BOAT,FLEX,CLINTON,1
BOAT,GAS,CLINTON,4442
BOAT,NONE,CLINTON,29
BOAT,OTHER,CLINTON,12
TRL,NONE,CLINTON,12263
VEH,COMP N/G,CLINTON,1
